Team,League
Ligue 2 2016/17,ES Troyes AC
Ligue 2 2016/17,Sochaux FC
Ligue 2 2016/17,Red Star 93
Ligue 2 2016/17,AJ Auxerre
Ligue 2 2016/17,Amiens SC
Ligue 2 2016/17,Stade de Reims
Primera Division 2016/17,Málaga CF
Primera Division 2016/17,CA Osasuna
Primera Division 2016/17,RC Deportivo La Coruna
Primera Division 2016/17,SD Eibar
Primera Division 2016/17,FC Barcelona
Primera Division 2016/17,Real Betis
Primera Division 2016/17,Granada CF
Primera Division 2016/17,Villarreal CF
Primera Division 2016/17,Sevilla FC
Primera Division 2016/17,RCD Espanyol
Primera Division 2016/17,Sporting Gijón
Primera Division 2016/17,Athletic Club
Primera Division 2016/17,Real Sociedad de Fútbol
Primera Division 2016/17,Real Madrid CF
Primera Division 2016/17,Club Atlético de Madrid
Primera Division 2016/17,Deportivo Alavés
Primera Division 2016/17,RC Celta de Vigo
Primera Division 2016/17,CD Leganes
Primera Division 2016/17,Valencia CF
Primera Division 2016/17,UD Las Palmas
Liga Adelante 2016/17,CD Mirandes
Liga Adelante 2016/17,Getafe CF
Liga Adelante 2016/17,UD Almeria
Liga Adelante 2016/17,Cádiz CF
Liga Adelante 2016/17,AD Alcorcón
Liga Adelante 2016/17,Huesca
Liga Adelante 2016/17,Elche FC
Liga Adelante 2016/17,Rayo Vallecano de Madrid
Liga Adelante 2016/17,RCD Mallorca
Liga Adelante 2016/17,CF Reus Deportiu
Liga Adelante 2016/17,Córdoba CF
Liga Adelante 2016/17,CD Tenerife
Liga Adelante 2016/17,CD Numancia de Soria
Liga Adelante 2016/17,Levante UD
Liga Adelante 2016/17,Gimnàstic de Tarragona
Liga Adelante 2016/17,CD Lugo
Liga Adelante 2016/17,Sevilla II
Liga Adelante 2016/17,Girona FC
Liga Adelante 2016/17,Real Valladolid
Liga Adelante 2016/17,Real Oviedo
Liga Adelante 2016/17,Real Zaragoza
Liga Adelante 2016/17,UCAM Murcia
Serie A 2016/17,AS Roma
Serie A 2016/17,Udinese Calcio
Serie A 2016/17,Juventus Turin
Serie A 2016/17,ACF Fiorentina
Serie A 2016/17,AC Milan
Serie A 2016/17,Torino FC
Serie A 2016/17,AC Chievo Verona
Serie A 2016/17,FC Internazionale Milano
Serie A 2016/17,Empoli FC
Serie A 2016/17,UC Sampdoria
Serie A 2016/17,Genoa CFC
Serie A 2016/17,Cagliari Calcio
Serie A 2016/17,Bologna FC
Serie A 2016/17,FC Crotone
Serie A 2016/17,US Cittá di Palermo
Serie A 2016/17,US Sassuolo Calcio
